City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,siguiri,11.6667,-9.5,73.45,95,13,3.36,GN,1723511072
162,puerto lempira,15.2667,-83.7667,80.74,78,75,0.0,HN,1723511073
163,macusani,-14.0833,-70.4333,32.83,83,59,4.38,PE,1723511074
164,vozdvizhenka,43.9,131.95,76.28,82,39,2.42,RU,1723511076
165,hilo,19.7297,-155.09,83.93,73,0,9.22,US,1723511077
166,luorong,24.4058,109.6086,78.1,93,100,1.68,CN,1723511079
167,gagliano del capo,39.8442,18.3695,80.29,62,0,7.14,IT,1723511080
168,grand-bassam,5.2118,-3.7388,75.18,93,100,11.45,CI,1723511081
169,och'amch'ire,42.7123,41.4686,68.61,92,4,7.34,GE,1723511082
170,wildwood,38.5828,-90.6629,66.42,90,100,10.36,US,1723510911
171,st. john's,47.5649,-52.7093,67.96,82,20,19.57,CA,1723510792
172,college,64.8569,-147.8028,61.07,57,75,12.66,US,1723511085
173,tomatlan,19.9333,-105.25,82.29,85,100,2.8,MX,1723511086
174,sao jose da coroa grande,-8.8978,-35.1478,74.88,81,0,7.74,BR,1723511087
175,chardara,41.2547,67.9692,76.12,40,53,3.44,KZ,1723511089
176,flying fish cove,-10.4217,105.6791,78.48,73,40,13.8,CX,1723511090
177,hadibu,12.65,54.0333,79.05,75,7,17.54,YE,1723510934
178,banyo,6.75,11.8167,64.51,99,100,1.66,CM,1723510825
179,talara,-4.5772,-81.2719,65.16,88,0,11.5,PE,1723511093
180,fisterra,42.9049,-9.2629,63.5,89,100,2.24,ES,1723511094
181,cafayate,-26.073,-65.9761,49.14,40,0,4.54,AR,1723511095
182,saint-felix-de-valois,46.1668,-73.4324,63.05,84,89,6.08,CA,1723510915
183,mata-utu,-13.2816,-176.1745,78.78,78,86,25.34,WF,1723511098
184,wake village,33.4268,-94.1063,86.14,75,0,4.61,US,1723511100
185,aydarken,39.9443,71.3429,63.18,46,0,4.81,KG,1723511101
186,chita,52.0333,113.55,69.69,56,54,4.47,RU,1723511102
187,lively,46.4334,-81.1498,64.02,77,15,3.0,CA,1723511103
188,kolonia,50.9333,6.95,77.97,74,0,2.3,DE,1723511104
189,tralee,52.2704,-9.7026,61.61,91,99,7.29,IE,1723511105
190,menongue,-14.6585,17.691,53.92,24,0,2.26,AO,1723511106
191,kirakira,-10.4544,161.9205,82.09,78,83,18.66,SB,1723511108
192,gero,-8.7039,121.1881,79.56,62,23,6.42,ID,1723511109
193,scottburgh,-30.2867,30.7532,60.66,84,100,11.32,ZA,1723511110
194,akureyri,65.6835,-18.0878,48.13,93,100,10.36,IS,1723511111
195,okhotsk,59.3833,143.3,58.86,73,22,6.96,RU,1723511112
196,puerto aysen,-45.4,-72.7,41.88,100,100,2.95,CL,1723510888
197,fale old settlement,-9.3852,-171.2468,82.04,77,23,16.89,TK,1723511114
198,tuzlukcu,38.4778,31.6264,66.88,50,0,3.24,TR,1723511115
199,petropavlovsk-kamchatsky,53.0452,158.6483,63.19,72,75,4.47,RU,1723511116
200,uttarkashi,30.7333,78.45,65.62,90,87,1.41,IN,1723511117
201,laojunmiao,39.8333,97.7333,71.65,32,74,5.44,CN,1723511119
202,senta,45.9275,20.0772,76.01,48,0,7.47,RS,1723511120
203,eyl,7.9803,49.8164,76.93,69,5,19.91,SO,1723511121
204,jayapura,-2.5333,140.7,80.87,63,99,4.0,ID,1723511122
205,afaahiti,-17.75,-149.2833,76.98,79,74,12.08,PF,1723511124
206,cabedelo,-6.9811,-34.8339,75.38,85,0,9.26,BR,1723511125
207,haiku-pauwela,20.9219,-156.3051,86.16,61,40,24.16,US,1723511126
208,quellon,-43.1167,-73.6167,48.49,97,100,5.01,CL,1723510886
209,skiatook,36.3684,-96.0014,87.08,64,12,6.38,US,1723511129
210,dudinka,69.4058,86.1778,58.06,57,100,7.34,RU,1723511130
211,yuzhno-kurilsk,44.0306,145.8556,67.53,98,100,5.53,RU,1723511131
212,hamilton,39.1834,-84.5333,75.99,61,0,6.91,US,1723511002
213,port mathurin,-19.6833,63.4167,71.37,70,100,19.84,MU,1723511133
214,smithers,54.7804,-127.1743,68.32,56,75,6.91,CA,1723511134
215,illizi,26.4833,8.4667,86.94,22,0,8.63,DZ,1723510935
216,byron bay,-28.65,153.6167,67.73,76,100,14.7,AU,1723511136
217,andergrove,-21.0833,149.1833,70.61,75,65,5.06,AU,1723511137
218,fallon,39.4735,-118.7774,83.1,18,95,1.99,US,1723511052
